date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:58:02	6421/6421	---M-Z	200	added ('OK')	text/html	date:Sun,%2022%20Mar%202020%2004:23:20%20GMT	http://affixtheme.com/html/xmee/demo/login-7.html	E:/Http_trackWebsite/affixtheme.com/html/xmee/demo/login-7.html	(from )
23:58:03	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Apr%202020%2018:28:07%20GMT	http://affixtheme.com/robots.txt		(from )
23:58:03	1395/1395	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Mar%202020%2002:56:24%20GMT	http://affixtheme.com/html/xmee/demo/img/favicon.png	E:/Http_trackWebsite/affixtheme.com/html/xmee/demo/img/favicon.png	(from http://affixtheme.com/html/xmee/demo/login-7.html)
23:58:04	140936/140936	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Feb%202020%2005:22:58%20GMT	http://affixtheme.com/html/xmee/demo/css/bootstrap.min.css	E:/Http_trackWebsite/affixtheme.com/html/xmee/demo/css/bootstrap.min.css	(from http://affixtheme.com/html/xmee/demo/login-7.html)
23:58:05	54456/54456	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Feb%202020%2005:22:58%20GMT	http://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css	E:/Http_trackWebsite/affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css	(from http://affixtheme.com/html/xmee/demo/login-7.html)
23:58:05	1674/1674	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Feb%202020%2005:22:58%20GMT	http://affixtheme.com/html/xmee/demo/font/flaticon.css	E:/Http_trackWebsite/affixtheme.com/html/xmee/demo/font/flaticon.css	(from http://affixtheme.com/html/xmee/demo/login-7.html)
23:58:05	151322/151322	---M-Z	200	added ('OK')	text/css	date:Sun,%2022%20Mar%202020%2004:14:02%20GMT	http://affixtheme.com/html/xmee/demo/style.css	E:/Http_trackWebsite/affixtheme.com/html/xmee/demo/style.css	(from http://affixtheme.com/html/xmee/demo/login-7.html)
23:58:07	741/741	---M--	200	added ('OK')	image/png	date:Mon,%2009%20Mar%202020%2004:58:42%20GMT	http://affixtheme.com/html/xmee/demo/img/logo-7.png	E:/Http_trackWebsite/affixtheme.com/html/xmee/demo/img/logo-7.png	(from http://affixtheme.com/html/xmee/demo/login-7.html)
23:58:07	3680/3680	---M-Z	200	added ('OK')	text/html	date:Sun,%2022%20Mar%202020%2004:19:48%20GMT	http://affixtheme.com/html/xmee/demo/forgot-password-7.html	E:/Http_trackWebsite/affixtheme.com/html/xmee/demo/forgot-password-7.html	(from http://affixtheme.com/html/xmee/demo/login-7.html)
23:58:07	6723/6723	---M-Z	200	added ('OK')	text/html	date:Sun,%2022%20Mar%202020%2004:29:42%20GMT	http://affixtheme.com/html/xmee/demo/register-7.html	E:/Http_trackWebsite/affixtheme.com/html/xmee/demo/register-7.html	(from http://affixtheme.com/html/xmee/demo/login-7.html)
23:58:07	46020/46020	---M--	200	added ('OK')	image/png	date:Mon,%2009%20Mar%202020%2004:57:24%20GMT	http://affixtheme.com/html/xmee/demo/img/figure/bg7-l.png	E:/Http_trackWebsite/affixtheme.com/html/xmee/demo/img/figure/bg7-l.png	(from http://affixtheme.com/html/xmee/demo/login-7.html)
23:58:09	21004/21004	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2026%20Feb%202020%2005:23:00%20GMT	http://affixtheme.com/html/xmee/demo/js/popper.min.js	E:/Http_trackWebsite/affixtheme.com/html/xmee/demo/js/popper.min.js	(from http://affixtheme.com/html/xmee/demo/login-7.html)
23:58:10	5594/5594	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2026%20Feb%202020%2005:23:00%20GMT	http://affixtheme.com/html/xmee/demo/js/imagesloaded.pkgd.min.js	E:/Http_trackWebsite/affixtheme.com/html/xmee/demo/js/imagesloaded.pkgd.min.js	(from http://affixtheme.com/html/xmee/demo/login-7.html)
23:58:10	51039/51039	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2026%20Feb%202020%2005:23:00%20GMT	http://affixtheme.com/html/xmee/demo/js/bootstrap.min.js	E:/Http_trackWebsite/affixtheme.com/html/xmee/demo/js/bootstrap.min.js	(from http://affixtheme.com/html/xmee/demo/login-7.html)
23:58:10	7721/7721	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2026%20Feb%202020%2005:23:00%20GMT	http://affixtheme.com/html/xmee/demo/js/validator.min.js	E:/Http_trackWebsite/affixtheme.com/html/xmee/demo/js/validator.min.js	(from http://affixtheme.com/html/xmee/demo/login-7.html)
23:58:10	86927/86927	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2026%20Feb%202020%2005:23:00%20GMT	http://affixtheme.com/html/xmee/demo/js/jquery-3.3.1.min.js	E:/Http_trackWebsite/affixtheme.com/html/xmee/demo/js/jquery-3.3.1.min.js	(from http://affixtheme.com/html/xmee/demo/login-7.html)
23:58:11	1906/1906	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2010%20Mar%202020%2006:22:26%20GMT	http://affixtheme.com/html/xmee/demo/js/main.js	E:/Http_trackWebsite/affixtheme.com/html/xmee/demo/js/main.js	(from http://affixtheme.com/html/xmee/demo/login-7.html)
23:58:23	72148/72148	---M--	200	added ('OK')	font/woff2	date:Wed,%2026%20Feb%202020%2005:23:00%20GMT	http://affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.woff2	E:/Http_trackWebsite/affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.woff2	(from http://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
23:58:24	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Apr%202020%2018:28:28%20GMT	http://affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.svg	E:/Http_trackWebsite/affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.14.delayed	(from http://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
23:58:25	125320/125320	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2026%20Feb%202020%2005:23:00%20GMT	http://affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.eot	E:/Http_trackWebsite/affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.eot	(from http://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
23:58:26	84568/84568	---M--	200	added ('OK')	font/woff	date:Wed,%2026%20Feb%202020%2005:23:00%20GMT	http://affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.woff	E:/Http_trackWebsite/affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.woff	(from http://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
23:58:29	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2026%20Feb%202020%2005:23:00%20GMT	http://affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.eot	E:/Http_trackWebsite/affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.eot	(from http://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
